,level_0,index,PSCID,Protein Name,Free form,Bound form,Ligands,Classification(?),motion_type,Free PDB,Free Chains,Bound PDB,Bound Chains
346,349,95,IL.96,XYLOGLUCANASE,2jep_B,2jeq_A,"4xBGC,GAL,XYS",101,independent_local_motion,2jep,B,2jeq,A
347,350,96,IL.97,INORGANIC PYROPHOSPHATASE,2ik9_AB,1huj_AB,2xMG,101,independent_local_motion,2ik9,AB,1huj,AB
348,351,97,IL.98,MEMBRANE ANTIGEN,2izp_B,2j9t_A,FLC,101,independent_local_motion,2izp,B,2j9t,A
349,352,98,IL.99,CHLORIDE INTRACELLULAR CHANNEL PROTEIN 1,1k0m_B,1k0n_A,GTT,101,independent_local_motion,1k0m,B,1k0n,A
350,353,99,IL.100,SPHINGOMYELIN PHOSPHODIESTERASE,2uyr_X,2dds_A,CO,101,independent_local_motion,2uyr,X,2dds,A
351,354,100,IL.101,TRANSLATION INITIATION FACTOR 2 GAMMA SUBUNIT,2plf_A,2pmd_B,"GDP,3xPPV",101,independent_local_motion,2plf,A,2pmd,B
352,355,101,IL.102,HYPOTHETICAL PROTEIN PH0822,2yx6_DD,2yx6_BC,ADP,101,independent_local_motion,2yx6,DD,2yx6,BC
353,356,102,IL.103,JUVENILE HORMONE BINDING PROTEIN,2rck_A,2rck_B,NAG,101,independent_local_motion,2rck,A,2rck,B
354,357,103,IL.104,EXODEOXYRIBONUCLEASE I,3c95_A,3c94_A,"PEPT(DIPF),PEPT(IPF),MG",101,independent_local_motion,3c95,A,3c94,A
355,358,104,IL.105,POLO-LIKE KINASE 1,3d5u_A,3d5w_A,ADP,101,independent_local_motion,3d5u,A,3d5w,A
356,359,105,IL.106,PROGRAMMED CELL DEATH 6-INTERACTING PROTEIN,2oew_A,3c3o_A,PEPT(DEEALKQLAEWVS),101,independent_local_motion,2oew,A,3c3o,A
357,360,106,IL.107,METALLOREDUCTASE STEAP3,2vns_AB,2vq3_AB,2xNAP,101,independent_local_motion,2vns,AB,2vq3,AB
358,361,107,IL.108,ACETYL-COENZYME A CARBOXYLASE,1od4_AA,1od2_AB,"ACO,ADE",101,independent_local_motion,1od4,AA,1od2,AB
359,362,108,IL.109,ANAEROBIC RIBONUCLEOTIDE-TRIPHOSPHATE REDUCTASE LARGE CHAIN,1h7b_AA,1h78_AA,4xDCP,101,independent_local_motion,1h7b,AA,1h78,AA
360,363,109,IL.110,EPHRIN RECEPTOR,2qo2_A,2qoq_A,ANP,101,independent_local_motion,2qo2,A,2qoq,A
361,364,110,IL.111,HYALURONOGLUCOSAMINIDASE,1fcq_A,1fcv_A,"GCU,2xNAG",101,independent_local_motion,1fcq,A,1fcv,A
362,365,111,IL.112,HIV-1 PROTEASE,1g6l_A,1hvc_A,A79,101,independent_local_motion,1g6l,A,1hvc,A
363,366,112,IL.113,6-PHOSPHO-BETA-D-GALACTOSIDASE,1pbg_B,4pbg_A,BGP,101,independent_local_motion,1pbg,B,4pbg,A
364,367,113,IL.114,PEPTIDE-N(4)-(N-ACETYL-BETA-D-GLUCOSAMINYL) ASPARAGINE AMIDASE F,1pgs_A,1pnf_A,"NAG,NDG",101,independent_local_motion,1pgs,A,1pnf,A
365,368,114,IL.115,PHYTASE,1dkl_B,1dkq_A,IHP,101,independent_local_motion,1dkl,B,1dkq,A
366,369,115,IL.116,GLYCOPROTEIN-FUCOSYLGALACTOSIDE ALPHA-N-ACETYLGALACTOSAMINYLTRANSFERASE,2pgy_AA,1r7y_AA,"2xAIG,2xMN,2xUDP",101,independent_local_motion,2pgy,AA,1r7y,AA
367,370,116,IL.117,DIHYDROPTEROATE SYNTHASE,2veg_B,2veg_A,PMM,101,independent_local_motion,2veg,B,2veg,A
368,371,117,IL.118,DNA POLYMERASE BETA,1rpl_A,1nom_A,MN,101,independent_local_motion,1rpl,A,1nom,A
369,372,118,IL.119,UBIQUITIN,2znv_C,2zcc_B,ZN,101,independent_local_motion,2znv,C,2zcc,B
370,373,119,IL.120,LEUCYL-TRNA SYNTHETASE,2ajg_B,2ajh_A,MET,101,independent_local_motion,2ajg,B,2ajh,A
371,374,120,IL.121,TRANSDUCIN-LIKE ENHANCER PROTEIN 1,1gxr_AB,2ce9_CD,PEPT(MWRPW),101,independent_local_motion,1gxr,AB,2ce9,CD
372,375,121,IL.122,HYALURONATE LYASE,1f1s_A,1i8q_A,"2xGC4,NAG",101,independent_local_motion,1f1s,A,1i8q,A
373,376,122,IL.123,"DIPEPTIDYL AMINOPEPTIDASE IV, PUTATIVE",2d5l_AA,2eep_AA,2xAIO,101,independent_local_motion,2d5l,AA,2eep,AA
374,377,123,IL.124,PROTEIN YTNJ,1tvl_AA,1yw1_AA,"2xFMN,2xGLC",101,independent_local_motion,1tvl,AA,1yw1,AA
375,378,124,IL.125,VIRULENCE SENSOR HISTIDINE KINASE PHOQ,3cgz_C,3cgy_A,RDC,101,independent_local_motion,3cgz,C,3cgy,A
376,379,125,IL.126,MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE,2qj3_A,2qj3_B,3xNI,101,independent_local_motion,2qj3,A,2qj3,B
377,380,126,IL.127,ESCN,2obl_A,2obm_A,ADP,101,independent_local_motion,2obl,A,2obm,A
378,381,127,IL.128,POP2,1uoc_B,1uoc_A,CA,101,independent_local_motion,1uoc,B,1uoc,A
379,382,128,IL.129,PYRIDOXINE KINASE,2ddm_AB,2ddo_AB,ATP,101,independent_local_motion,2ddm,AB,2ddo,AB
380,383,129,IL.130,LEUKOCIDIN F SUBUNIT,2lkf_A,3lkf_A,PC,101,independent_local_motion,2lkf,A,3lkf,A
381,384,130,IL.131,DIACYLGLYCEROL KINASE DGKB,2qvl_A,2qv7_A,"ADP,MG",101,independent_local_motion,2qvl,A,2qv7,A
382,385,131,IL.132,IDS-EPIMERASE,2hp3_AB,2hp0_AB,2xDTT,101,independent_local_motion,2hp3,AB,2hp0,AB
383,386,132,IL.133,PHOSPHOHEPTOSE ISOMERASE,2i2w_BC,2i22_BC,I22,101,independent_local_motion,2i2w,BC,2i22,BC
384,387,133,IL.134,SUFC PROTEIN,2d2e_A,2d2f_A,"ADP,2xMG",101,independent_local_motion,2d2e,A,2d2f,A
385,388,134,IL.135,SYNAPTOTAGMIN IV,1w16_A,1w15_A,CA,101,independent_local_motion,1w16,A,1w15,A
386,389,0,B.1,ODORANT BINDING PROTEIN,1obp_AB,1pbo_AB,2xSES,10,burying_ligand_motion,1obp,AB,1pbo,AB
387,390,1,B.2,INTEGRIN ALPHA-M,1na5_A,1ido_A,MG,10,burying_ligand_motion,1na5,A,1ido,A
388,391,2,B.3,TRP OPERON REPRESSOR,3wrp_AA,2oz9_RR,2xTRP,10,burying_ligand_motion,3wrp,AA,2oz9,RR
389,392,3,B.4,MITE ALLERGEN DER F II,2f08_D,1xwv_B,XPE,10,burying_ligand_motion,2f08,D,1xwv,B
390,393,4,B.5,TRYPTOPHANYL-TRNA SYNTHETASE,2quk_AA,2quj_AB,"TRP,TYM",10,burying_ligand_motion,2quk,AA,2quj,AB
391,394,5,B.6,REPLICASE POLYPROTEIN 1AB,2acf_B,2fav_B,APR,10,burying_ligand_motion,2acf,B,2fav,B
392,395,6,B.7,NITROREDUCTASE-LIKE FAMILY PROTEIN,2i7h_EF,2i7h_AB,2xFMN,10,burying_ligand_motion,2i7h,EF,2i7h,AB
393,396,7,B.8,SUPEROXIDE DISMUTASE,1ozt_MN,1spd_AB,"2xCU,2xZN",10,burying_ligand_motion,1ozt,MN,1spd,AB
394,397,8,B.9,HISTIDINOL-PHOSPHATE AMINOTRANSFERASE,1uu0_CD,1uu2_AB,2xPMP,10,burying_ligand_motion,1uu0,CD,1uu2,AB
395,398,9,B.10,BETA-CRYPTOGEIN,1beo_A,1lri_A,CLR,10,burying_ligand_motion,1beo,A,1lri,A
396,399,10,B.11,SUBTILISIN NOVO,2sbt_A,1ubn_A,2xCA,10,burying_ligand_motion,2sbt,A,1ubn,A
397,400,11,B.12,BETA-GLUCOSIDASE,1hxj_AB,1v08_AB,4xNTZ,10,burying_ligand_motion,1hxj,AB,1v08,AB
398,401,12,B.13,T-CELL ECTO-ADP-RIBOSYLTRANSFERASE 2,1gy0_A,1gxz_B,BRT,10,burying_ligand_motion,1gy0,A,1gxz,B
399,402,13,B.14,CARBONIC ANHYDRASE II,1fqn_A,1xev_B,ZN,10,burying_ligand_motion,1fqn,A,1xev,B
400,403,14,B.15,SODIUM/CALCIUM EXCHANGER 1,2qvk_A,2qvm_A,CA,10,burying_ligand_motion,2qvk,A,2qvm,A
401,404,15,B.16,GLUCOSE-6-PHOSPHATE ISOMERASE,1x8e_AB,1x82_AA,2xPA5,10,burying_ligand_motion,1x8e,AB,1x82,AA
402,405,16,B.17,CHORISMATE MUTASE,2qbv_AA,2vkl_AA,2xMLT,10,burying_ligand_motion,2qbv,AA,2vkl,AA
403,406,17,B.18,ACYLAMINO-ACID-RELEASING ENZYME,2qzp_B,1ve7_A,4NP,10,burying_ligand_motion,2qzp,B,1ve7,A
404,407,18,B.19,LIPOATE-PROTEIN LIGASE A,2c7i_A,2art_A,"AMP,LPA,MG",10,burying_ligand_motion,2c7i,A,2art,A
405,408,19,B.20,DRP35,2dg0_L,2dso_A,2xCA,10,burying_ligand_motion,2dg0,L,2dso,A
406,409,20,B.21,HYPOTHETICAL PROTEIN VIOE,2zf3_CD,2zf4_AB,4xPPY,10,burying_ligand_motion,2zf3,CD,2zf4,AB
407,410,21,B.22,EGF-LIKE MODULE CONTAINING MUCIN-LIKE HORMONE RECEPTOR-LIKE 2 PRECURSOR,2box_A,2bo2_B,2xCA,10,burying_ligand_motion,2box,A,2bo2,B
408,411,22,B.23,RIBONUCLEOTIDE REDUCTASE R2,2av8_AB,1pfr_AB,4xFE,10,burying_ligand_motion,2av8,AB,1pfr,AB
409,412,23,B.24,GLUCOSE PHOSPHATE ISOMERASE,1jiq_AB,1nuh_AA,2xPA5,10,burying_ligand_motion,1jiq,AB,1nuh,AA
410,413,24,B.25,PSORIASIN,1psr_AB,3psr_AB,"2xCA,ZN",10,burying_ligand_motion,1psr,AB,3psr,AB
411,414,25,B.26,GLUTAMATE [NMDA] RECEPTOR SUBUNIT 3B,2rca_B,2rcb_A,DSN,10,burying_ligand_motion,2rca,B,2rcb,A
412,415,26,B.27,METHYLTHIORIBOSE-1-PHOSPHATE ISOMERASE,2yrf_AB,2yvk_AB,2xMRU,10,burying_ligand_motion,2yrf,AB,2yvk,AB
413,416,27,B.28,"2-HYDROXY-6-OXO-7-METHYLOCTA-2,4-DIENOATE HYDROLASE",1iun_AB,1uk9_AA,2xIVA,10,burying_ligand_motion,1iun,AB,1uk9,AA
414,417,28,B.29,PRECORRIN-8X METHYLMUTASE,1f2v_AA,1i1h_AA,2xCOJ,10,burying_ligand_motion,1f2v,AA,1i1h,AA
415,418,29,B.30,OHCU DECARBOXYLASE,2o70_CD,2o74_AB,2xGUN,10,burying_ligand_motion,2o70,CD,2o74,AB
416,419,30,B.31,CATION EFFLUX SYSTEM PROTEIN CUSF,2vb3_X,2vb2_X,CU,10,burying_ligand_motion,2vb3,X,2vb2,X
417,420,31,B.32,AMINE OXIDASE,1avk_AA,1ui7_AB,4xCU,10,burying_ligand_motion,1avk,AA,1ui7,AB
418,421,32,B.33,SIALIDASE B,2vw0_A,2vw1_A,DAN,10,burying_ligand_motion,2vw0,A,2vw1,A
419,422,33,B.34,SERINE HYDROLASE,1evq_A,1qz3_A,HDS,10,burying_ligand_motion,1evq,A,1qz3,A
420,423,34,B.35,URIDINE 5'-MONOPHOSPHATE SYNTHASE,2eaw_AB,3bgg_AA,2xBMP,10,burying_ligand_motion,2eaw,AB,3bgg,AA
421,424,35,B.36,NON-SPECIFIC LIPID TRANSFER PROTEIN,1mzl_A,1fk1_A,DAO,10,burying_ligand_motion,1mzl,A,1fk1,A
422,425,36,B.37,MALONAMIDASE E2,1o9n_AB,1ocl_AB,2xMLA,10,burying_ligand_motion,1o9n,AB,1ocl,AB
423,426,37,B.38,CHALCONE--FLAVONONE ISOMERASE 1,1jx1_A,1jx1_C,DFV,10,burying_ligand_motion,1jx1,A,1jx1,C
424,427,38,B.39,SEP-TRNA:CYS-TRNA SYNTHASE,2e7i_BB,2e7j_AB,2xPLP,10,burying_ligand_motion,2e7i,BB,2e7j,AB
425,428,39,B.40,PYRIDOXAL PHOSPHATE PHOSPHATASE,2oyc_AA,2p69_AA,"2xCA,2xPLP",10,burying_ligand_motion,2oyc,AA,2p69,AA
426,429,40,B.41,"2,3-DIHYDROXYBENZOATE-AMP LIGASE",1mdf_A,1md9_A,"AMP,DBH",10,burying_ligand_motion,1mdf,A,1md9,A
427,430,41,B.42,ARYLAMINE N-ACETYLTRANSFERASE,1w5r_AB,1w6f_AB,2xISZ,10,burying_ligand_motion,1w5r,AB,1w6f,AB
428,431,42,B.43,SERYL-TRNA SYNTHETASE,2zr3_AB,2dq0_AB,2xSSA,10,burying_ligand_motion,2zr3,AB,2dq0,AB
429,432,43,B.44,PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN 1,2iqy_A,2iqx_C,OPE,10,burying_ligand_motion,2iqy,A,2iqx,C
430,433,44,B.45,SUPEROXIDE DISMUTASE [FE],2bkb_CD,1za5_AB,2xFE,10,burying_ligand_motion,2bkb,CD,1za5,AB
431,434,45,B.46,YM1 SECRETORY PROTEIN,1vf8_A,1e9l_A,GCS,10,burying_ligand_motion,1vf8,A,1e9l,A
432,435,46,B.47,RUBREDOXIN,1fhm_A,1t9p_A,FE,10,burying_ligand_motion,1fhm,A,1t9p,A
433,436,47,B.48,RIBOSE-5-PHOSPHATE ISOMERASE B,1usl_AB,2vvo_CD,2xA6P,10,burying_ligand_motion,1usl,AB,2vvo,CD
434,437,48,B.49,"CARNITINE O-PALMITOYLTRANSFERASE II, MITOCHONDRIAL",2fyo_A,2fw3_A,BUI,10,burying_ligand_motion,2fyo,A,2fw3,A
435,438,49,B.50,STRICTOSIDINE SYNTHASE,2fp8_B,2fp9_A,TAR,10,burying_ligand_motion,2fp8,B,2fp9,A
436,439,50,B.51,RIBOFLAVIN BIOSYNTHESIS PROTEIN RIBD,2g6v_AB,2obc_AB,RP5,10,burying_ligand_motion,2g6v,AB,2obc,AB
437,440,51,B.52,P-AMINOBENZOATE N-OXYGENASE,3chi_AB,3cht_AB,4NB,10,burying_ligand_motion,3chi,AB,3cht,AB
438,441,52,B.53,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE I,2byw_CD,2bui_AB,2xOCA,10,burying_ligand_motion,2byw,CD,2bui,AB
439,442,53,B.54,CALCIUM-GATED POTASSIUM CHANNEL MTHK,2aej_AB,2aef_AB,2xCA,10,burying_ligand_motion,2aej,AB,2aef,AB
440,443,54,B.55,P2 PROTEIN,1wac_A,1hhs_B,MN,10,burying_ligand_motion,1wac,A,1hhs,B
441,444,55,B.56,TROPONIN C,1ncz_A,5tnc_A,2xCA,10,burying_ligand_motion,1ncz,A,5tnc,A
442,445,56,B.57,CARBOXYPEPTIDASE A,1arl_A,1cpx_A,ZN,10,burying_ligand_motion,1arl,A,1cpx,A
443,446,57,B.58,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS 3,2f3n_A,2f44_B,ZN,10,burying_ligand_motion,2f3n,A,2f44,B
444,447,58,B.59,INDOLE-3-GLYCEROL PHOSPHATE SYNTHASE,1juk_A,1lbl_A,137,10,burying_ligand_motion,1juk,A,1lbl,A
445,448,59,B.60,10-FORMYLTETRAHYDROFOLATE DEHYDROGENASE,2bw0_A,2cfi_A,ZZZ,10,burying_ligand_motion,2bw0,A,2cfi,A
446,449,60,B.61,PROBABLE 2-PHOSPHOSULFOLACTATE PHOSPHATASE,2yyv_AB,2yzo_AB,2xDMR,10,burying_ligand_motion,2yyv,AB,2yzo,AB
447,450,61,B.62,"L,D-TRANSPEPTIDASE",2hkl_B,1zat_A,ZN,10,burying_ligand_motion,2hkl,B,1zat,A
448,451,62,B.63,TRYPTOPHAN HALOGENASE,2oam_AB,2oa1_AB,"ADN,FAD,2xTRP",10,burying_ligand_motion,2oam,AB,2oa1,AB
449,452,63,B.64,3-METHYLASPARTATE AMMONIA-LYASE,1kko_AB,1kkr_AB,"2x3MD,2xMG",10,burying_ligand_motion,1kko,AB,1kkr,AB
450,453,64,B.65,34 KDA MEMBRANE ANTIGEN,2o6f_AB,2o6e_AB,3xZN,10,burying_ligand_motion,2o6f,AB,2o6e,AB
451,454,65,B.66,CATECHOL OXIDASE,1bt2_B,1bug_A,"2xCU,URS",10,burying_ligand_motion,1bt2,B,1bug,A
452,455,66,B.67,RUBRERYTHRIN,1lkp_AA,1dvb_AA,"4xFE,2xZN",10,burying_ligand_motion,1lkp,AA,1dvb,AA
453,456,67,B.68,ASTACIN,1iad_A,1iaa_A,CU,10,burying_ligand_motion,1iad,A,1iaa,A
454,457,68,B.69,GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE,2p76_D,2oog_F,ZN,10,burying_ligand_motion,2p76,D,2oog,F
455,458,69,B.70,JMJC DOMAIN-CONTAINING HISTONE DEMETHYLATION PROTEIN 1A,2yu2_A,2yu1_A,AKG,10,burying_ligand_motion,2yu2,A,2yu1,A
456,459,70,B.71,COCAINE ESTERASE,1l7r_A,1ju4_A,BEZ,10,burying_ligand_motion,1l7r,A,1ju4,A
457,460,71,B.72,EXO-BETA-D-GLUCOSAMINIDASE,2vzo_B,2vzs_A,GCS,10,burying_ligand_motion,2vzo,B,2vzs,A
458,461,72,B.73,DESULFOREDOXIN,1dcd_AB,1dxg_AB,2xFE,10,burying_ligand_motion,1dcd,AB,1dxg,AB
459,462,73,B.74,EPOXIDE HYDROLASE EPHB,2e3j_A,2zjf_A,BSU,10,burying_ligand_motion,2e3j,A,2zjf,A
460,463,74,B.75,D7R4 PROTEIN,2qev_A,2qeo_B,LNR,10,burying_ligand_motion,2qev,A,2qeo,B
461,464,75,B.76,SHORT-CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHETASE,2vfw_AB,2vg0_AB,2xGPP,10,burying_ligand_motion,2vfw,AB,2vg0,AB
462,465,76,B.77,BETA-HYDROXYDECANOYL THIOL ESTER DEHYDRASE,1mkb_AB,1mka_AB,2xDAC,10,burying_ligand_motion,1mkb,AB,1mka,AB
463,466,77,B.78,GLYOXALASE I,1fa8_AB,1f9z_AB,2xNI,10,burying_ligand_motion,1fa8,AB,1f9z,AB
464,467,78,B.79,HYDROXYNITRILE LYASE,3c6y_AA,1yas_AA,2xHIS,10,burying_ligand_motion,3c6y,AA,1yas,AA
465,468,79,B.80,ERMC' RRNA METHYLTRANSFERASE,1qam_A,1qaq_A,SFG,10,burying_ligand_motion,1qam,A,1qaq,A
466,469,80,B.81,LIPASE A,2veo_B,2veo_A,PG4,10,burying_ligand_motion,2veo,B,2veo,A
467,470,81,B.82,BICARBONATE TRANSPORTER,2i49_A,2i4c_A,CA,10,burying_ligand_motion,2i49,A,2i4c,A
468,471,82,B.83,PKS18,1tee_CD,1ted_CD,2xMYR,10,burying_ligand_motion,1tee,CD,1ted,CD
469,472,83,B.84,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE,1hzt_A,1r67_A,MG,10,burying_ligand_motion,1hzt,A,1r67,A
471,474,85,B.86,ALDOSE 1-EPIMERASE,1snz_B,1so0_A,GAL,10,burying_ligand_motion,1snz,B,1so0,A
472,475,86,B.87,HYPOTHETICAL PROTEIN SLR1257,1iiw_AA,1ii5_AA,2xGLU,10,burying_ligand_motion,1iiw,AA,1ii5,AA
473,476,87,B.88,METHIONINE AMINOPEPTIDASE 1,2b3l_A,2b3h_A,2xCO,10,burying_ligand_motion,2b3l,A,2b3h,A
474,477,88,B.89,PHENYLALANINE-4-HYDROXYLASE,2v28_AB,2v27_AB,2xFE,10,burying_ligand_motion,2v28,AB,2v27,AB
475,478,89,B.90,ESTERASE,1esc_AA,1ese_AA,2xDEP,10,burying_ligand_motion,1esc,AA,1ese,AA
476,479,90,B.91,ADP-RIBOSYLGLYCOHYDROLASE,2cwc_A,2yzv_A,2xMG,10,burying_ligand_motion,2cwc,A,2yzv,A
477,480,91,B.92,NUCLEOSIDE 2-DEOXYRIBOSYLTRANSFERASE,2a0k_AB,2f62_AB,2x12M,10,burying_ligand_motion,2a0k,AB,2f62,AB
478,481,92,B.93,XAA-PRO DIPEPTIDASE,2iw2_AB,2okn_AB,4xMN,10,burying_ligand_motion,2iw2,AB,2okn,AB
479,482,93,B.94,180AA LONG HYPOTHETICAL PYRAZINAMIDASE/NICOTINAMIDASE,1ilw_A,1im5_A,ZN,10,burying_ligand_motion,1ilw,A,1im5,A
480,483,94,B.95,RIBOSOME BIOGENESIS PROTEIN NEP1-LIKE,3bbe_AB,3bbh_AB,2xSFG,10,burying_ligand_motion,3bbe,AB,3bbh,AB
481,484,95,B.96,NICOTINATE-NUCLEOTIDE--DIMETHYLBENZIMIDAZOLE PHOSPHORIBOSYLTRANSFERASE,1l5n_AA,1l5l_AA,"2x7RP,2xNIO",10,burying_ligand_motion,1l5n,AA,1l5l,AA
482,485,96,B.97,ESTERASE YBFF,3bf7_A,3bf8_B,MLA,10,burying_ligand_motion,3bf7,A,3bf8,B
483,486,97,B.98,"GLUCOSE-6-PHOSPHATE ISOMERASE, CONJECTURAL",1tzb_AB,1tzc_AB,2xPA5,10,burying_ligand_motion,1tzb,AB,1tzc,AB
484,487,98,B.99,DIHYDROXYACETONE KINASE,1oi2_AB,1uod_AB,2xG3H,10,burying_ligand_motion,1oi2,AB,1uod,AB
485,488,99,B.100,325AA LONG HYPOTHETICAL PROTEIN,2dec_AB,2df8_AB,2xF1P,10,burying_ligand_motion,2dec,AB,2df8,AB
486,489,100,B.101,LIPOCALIN,3bu9_A,3bu1_A,HSM,10,burying_ligand_motion,3bu9,A,3bu1,A
487,490,101,B.102,AECTYLCITRULLINE DEACETYLASE,2f8h_AA,2f7v_AA,2xCO,10,burying_ligand_motion,2f8h,AA,2f7v,AA
488,491,102,B.103,LIPOYLTRANSFERASE,2qht_A,2qhv_A,OC9,10,burying_ligand_motion,2qht,A,2qhv,A
489,492,103,B.104,RIBOSE 5-PHOSPHATE ISOMERASE,1uj4_AA,1uj5_AA,2x5RP,10,burying_ligand_motion,1uj4,AA,1uj5,AA
490,493,0,N.1,EPIDERMAL GROWTH FACTOR RECEPTOR,1m14_A,2itp_A,AEE,1,no_significant_motion,1m14,A,2itp,A
491,494,1,N.2,TALIN,1mix_A,1miz_B,PEPT(GSHAWDTAN),1,no_significant_motion,1mix,A,1miz,B
492,495,2,N.3,NUDIX HOMOLOG,1jrk_CD,1k2e_AB,2xNI,1,no_significant_motion,1jrk,CD,1k2e,AB
493,496,3,N.4,CELL DIVISION PROTEIN FTSZ HOMOLOG 1,1w59_B,1w5e_E,GTP,1,no_significant_motion,1w59,B,1w5e,E
494,497,4,N.5,MONO-ADP-RIBOSYLTRANSFERASE C3,1g24_C,1gzf_B,NAD,1,no_significant_motion,1g24,C,1gzf,B
495,498,5,N.6,CHROMOSOME PARTITIONING PROTEIN PARB,1vz0_BG,1vz0_AC,2xCO,1,no_significant_motion,1vz0,BG,1vz0,AC
496,499,6,N.7,CHORISMATE MUTASE,2f6l_AB,2ao2_BC,TRP,1,no_significant_motion,2f6l,AB,2ao2,BC
497,500,7,N.8,AMYLOID BETA A4 PROTEIN-BINDING FAMILY B MEMBER 1,2idh_D,2oei_A,PEPT(PPPPPPLPP),1,no_significant_motion,2idh,D,2oei,A
498,501,8,N.9,TAX1-BINDING PROTEIN 3,3dj1_A,3diw_A,PEPT(QLAWFDTDL),1,no_significant_motion,3dj1,A,3diw,A
499,502,9,N.10,CTD SMALL PHOSPHATASE-LIKE PROTEIN,2hhl_B,2hhl_A,2xKEG,1,no_significant_motion,2hhl,B,2hhl,A
500,503,10,N.11,NON-CATALYTIC PROTEIN 1,1w90_A,1gwm_A,"4xBGC,CO,GLC",1,no_significant_motion,1w90,A,1gwm,A
501,504,11,N.12,HEPARIN-BINDING GROWTH FACTOR 1,2j3p_A,2uus_A,SCR,1,no_significant_motion,2j3p,A,2uus,A
502,505,12,N.13,CUA,2cua_A,2cua_B,ZN,1,no_significant_motion,2cua,A,2cua,B
503,506,13,N.14,SMALL INDUCIBLE CYTOKINE A5,1u4r_AB,1u4m_AB,H3S,1,no_significant_motion,1u4r,AB,1u4m,AB
504,507,14,N.15,RIBONUCLEASE III,1i4s_AB,1rc5_CD,2xMG,1,no_significant_motion,1i4s,AB,1rc5,CD
505,508,15,N.16,PCF11 PROTEIN,1sza_C,1sza_B,PEPT(PSYSPTSPS),1,no_significant_motion,1sza,C,1sza,B
506,509,16,N.17,DNA POLYMERASE III,1mmi_AB,1ok7_AB,PEPT(RQLVLGL),1,no_significant_motion,1mmi,AB,1ok7,AB
507,510,17,N.18,PEROXISOMAL MEMBRANE PROTEIN PAS20,1jqq_D,1n5z_A,PEPT(MPPTLPHRDW),1,no_significant_motion,1jqq,D,1n5z,A
508,511,18,N.19,HIGH-AFFINITY BRANCHED CHAIN AMINO ACID TRANSPORT ATP-BINDING PROTEIN,1gaj_A,1g6h_A,ADP,1,no_significant_motion,1gaj,A,1g6h,A
509,512,19,N.20,GAMMA-AMINOBUTYRIC ACID RECEPTOR-ASSOCIATED PROTEIN,1gnu_A,3d32_B,PEPT(DATYTWEHLAWP),1,no_significant_motion,1gnu,A,3d32,B
510,513,20,N.21,GALECTIN-7,5gal_A,4gal_B,"GAL,GLC",1,no_significant_motion,5gal,A,4gal,B
511,514,21,N.22,ALANINE DEHYDROGENASE,1vll_AB,1omo_AB,2xNAD,1,no_significant_motion,1vll,AB,1omo,AB
512,515,22,N.23,ESCU,3bzt_A,3c03_A,PRO,1,no_significant_motion,3bzt,A,3c03,A
513,516,23,N.24,ACETOIN UTILIZATION PROTEIN,2q04_E,2q04_C,CA,1,no_significant_motion,2q04,E,2q04,C
515,518,25,N.26,PEPTIDYL-TRNA HYDROLASE,1wn2_AA,2d3k_AB,ZN,1,no_significant_motion,1wn2,AA,2d3k,AB
517,520,27,N.28,HYPOTHETICAL PROTEIN PH1109,2d59_A,2d5a_A,COA,1,no_significant_motion,2d59,A,2d5a,A
518,521,28,N.29,DNA POLYMERASE,1wns_A,1wn7_A,NI,1,no_significant_motion,1wns,A,1wn7,A
519,522,29,N.30,TOPRIM DOMAIN-CONTAINING PROTEIN,2fcj_C,2i5r_B,MG,1,no_significant_motion,2fcj,C,2i5r,B
520,523,30,N.31,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE IB ALPHA SUBUNIT,1uuj_AB,1uuj_CD,BEZ,1,no_significant_motion,1uuj,AB,1uuj,CD
521,524,31,N.32,HEAT-SHOCK TRANSCRIPTION FACTOR,2hts_A,1fyk_A,RNA(NNNN),1,no_significant_motion,2hts,A,1fyk,A
522,525,32,N.33,3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE-1,1w1h_B,1w1d_A,4IP,1,no_significant_motion,1w1h,B,1w1d,A
523,526,33,N.34,HEAT SHOCK PROTEIN 90,1yes_A,3bmy_A,CXZ,1,no_significant_motion,1yes,A,3bmy,A
524,527,34,N.35,THIOREDOXIN,2h74_B,1tho_A,CU,1,no_significant_motion,2h74,B,1tho,A
525,528,35,N.36,ALPHA-AMYLASE G-6,2c3g_A,2c3h_B,2xGLC,1,no_significant_motion,2c3g,A,2c3h,B
526,529,36,N.37,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE-LIKE 3,2ok3_A,2oju_B,"BMT,2xMLE,MVA",1,no_significant_motion,2ok3,A,2oju,B
527,530,37,N.38,SOLUBLE CYTOCHROME B562,1m6t_A,1lm3_D,HEM,1,no_significant_motion,1m6t,A,1lm3,D
