#ProteinA	ProteinB	PDB_Code	evidence
P0C2H8	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C2H8	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0C6H2	P61769	3ox8,3oxr,3oxs	MI:0114  x-ray crystallography
P0CG05	Q75760	3tyg	MI:0114  x-ray crystallography
P0CG48	P0CG68	1cmx	MI:0114  x-ray crystallography
P0CG48	P53165	3mhs	MI:0114  x-ray crystallography
P0CG48	P61088	4dhj,4dhz	MI:0114  x-ray crystallography
P0CG48	Q03067	3mhs	MI:0114  x-ray crystallography
P0CG48	Q6WNK7	3mhs	MI:0114  x-ray crystallography
P0CH08	P0CX23	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P0CX25	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P0CX27	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P0CX41	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P0CX45	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CH08	P0CX49	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CH08	P0CX82	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CH08	P0CX84	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P10664	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P14120	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P14126	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P17076	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P26321	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P26784	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P36105	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P38061	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P41805	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P49166	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	Q02326	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	Q02753	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CH08	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P0CX25	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P0CX27	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P0CX41	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P0CX45	3u5e,3u5i	MI:0114  x-ray crystallography
P0CX23	P0CX49	3u5e,3u5i	MI:0114  x-ray crystallography
P0CX23	P0CX82	3u5e,3u5i	MI:0114  x-ray crystallography
P0CX23	P0CX84	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P0CX86	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P10664	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P14120	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P14126	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P17076	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P26321	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P26784	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P36105	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P38061	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P41805	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P49166	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P49167	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	P87262	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	Q02326	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	Q02753	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX23	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P0CX27	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P0CX41	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX25	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX25	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX25	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX25	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P0CX41	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX27	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX27	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX27	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX27	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX29	P0CX31	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P0CX35	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P0CX37	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P0CX51	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P0CX55	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P25443	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P26783	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P32905	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P38011	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P38701	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P41057	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	Q01855	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	Q3E792	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX29	Q3E7X9	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX33	3izb,3j16,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX37	3j16,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX47	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX51	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P0CX55	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P25443	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P26783	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P32905	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P38011	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P38701	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P41057	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	Q01855	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	Q3E792	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX31	Q3E7X9	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX35	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX37	3j16,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX47	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX51	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P0CX55	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P25443	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P26783	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P32905	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P38011	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P38701	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P41057	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	Q01855	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	Q3E792	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX33	Q3E7X9	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P0CX51	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P0CX55	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P25443	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P26783	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P32905	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P38011	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P38701	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P41057	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	Q01855	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	Q3E792	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX35	Q3E7X9	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P0CX47	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P0CX51	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P0CX55	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P25443	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P26783	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P32905	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P35997	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P38011	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P38701	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P41057	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	Q01855	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	Q3E792	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX37	Q3E7X9	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P0CX51	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P0CX55	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P25443	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P26783	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P32905	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P35997	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P38011	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P38701	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P41057	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	Q01855	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	Q3E792	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX39	Q3E7X9	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX41	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX41	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX41	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX41	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX41	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P0CX45	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P0CX86	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P10664	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P14120	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P36105	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P49167	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	P87262	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	Q02326	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX45	Q12690	3u5e,3u5i	MI:0114  x-ray crystallography
P0CX47	P0CX51	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P0CX55	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P25443	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P26783	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P32905	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P38011	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P38701	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P41057	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	Q01855	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	Q3E792	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX47	Q3E7X9	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX49	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P0CX86	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P10664	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P14120	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P36105	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P49167	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	P87262	3izs,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	Q02326	3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P0CX49	Q12690	3u5e,3u5i	MI:0114  x-ray crystallography
P0CX51	P0CX55	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P25443	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P32905	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P33442	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P41057	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	Q01855	1s1h,3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P0CX51	Q3E792	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
